
# Surface 0 of 1 surfaces

# Curve title: ""landscape.tsv" matrix using 1:2:3"

# Contour 0, label:   0.0025
 109  22.1773  0.0025 
 108.204  22  0.0025 
 108  21.9409  0.0025 
 107  21.3171  0.0025 
 106.669  21  0.0025 
 106  20.0451  0.0025 
 105.976  20  0.0025 
 105.708  19  0.0025 
 105.702  18  0.0025 
 105.958  17  0.0025 
 106  16.9191  0.0025 
 106.643  16  0.0025 
 107  15.6608  0.0025 
 108  15.0593  0.0025 
 108.225  15  0.0025 
 109  14.8412  0.0025 
 110  14.8915  0.0025 
 110.358  15  0.0025 
 111  15.2517  0.0025 
 112  15.9797  0.0025 
 112.019  16  0.0025 
 112.662  17  0.0025 
 112.985  18  0.0025 
 112.999  19  0.0025 
 112.701  20  0.0025 
 112.079  21  0.0025 
 112  21.0837  0.0025 
 111  21.8095  0.0025 
 110.501  22  0.0025 
 110  22.1445  0.0025 
 109  22.1773  0.0025 

 109  123.046  0.0025 
 108.784  123  0.0025 
 108  122.787  0.0025 
 107  122.173  0.0025 
 106.82  122  0.0025 
 106.127  121  0.0025 
 106  120.623  0.0025 
 105.843  120  0.0025 
 105.855  119  0.0025 
 106  118.471  0.0025 
 106.17  118  0.0025 
 106.88  117  0.0025 
 107  116.886  0.0025 
 108  116.264  0.0025 
 108.906  116  0.0025 
 109  115.979  0.0025 
 109.747  116  0.0025 
 110  116.009  0.0025 
 111  116.378  0.0025 
 111.877  117  0.0025 
 112  117.132  0.0025 
 112.555  118  0.0025 
 112.866  119  0.0025 
 112.859  120  0.0025 
 112.537  121  0.0025 
 112  121.836  0.0025 
 111.847  122  0.0025 
 111  122.614  0.0025 
 110  123  0.0025 
 109  123.046  0.0025 


# Contour 1, label:    0.002
 17  20.0803  0.002 
 16.9101  20  0.002 
 16.214  19  0.002 
 16  18.2263  0.002 
 15.9542  18  0.002 
 16  17.5248  0.002 
 16.0703  17  0.002 
 16.6174  16  0.002 
 17  15.6006  0.002 
 17.9925  15  0.002 
 18  14.9967  0.002 
 19  14.8659  0.002 
 19.7623  15  0.002 
 20  15.0574  0.002 
 21  15.7305  0.002 
 21.2415  16  0.002 
 21.7532  17  0.002 
 21.8736  18  0.002 
 21.6079  19  0.002 
 21  19.925  0.002 
 20.9208  20  0.002 
 20  20.5438  0.002 
 19  20.7622  0.002 
 18  20.6083  0.002 
 17  20.0803  0.002 

 107  25.1066  0.002 
 106.754  25  0.002 
 106  24.6332  0.002 
 105.044  24  0.002 
 105  23.9658  0.002 
 104.011  23  0.002 
 104  22.9862  0.002 
 103.314  22  0.002 
 103  21.3967  0.002 
 102.817  21  0.002 
 102.504  20  0.002 
 102.337  19  0.002 
 102.313  18  0.002 
 102.432  17  0.002 
 102.699  16  0.002 
 103  15.2808  0.002 
 103.135  15  0.002 
 103.789  14  0.002 
 104  13.7441  0.002 
 104.747  13  0.002 
 105  12.7882  0.002 
 106  12.136  0.002 
 106.289  12  0.002 
 107  11.7001  0.002 
 108  11.4334  0.002 
 109  11.315  0.002 
 110  11.34  0.002 
 111  11.5085  0.002 
 112  11.8258  0.002 
 112.374  12  0.002 
 113  12.328  0.002 
 113.951  13  0.002 
 114  13.0404  0.002 
 114.925  14  0.002 
 115  14.0978  0.002 
 115.59  15  0.002 
 116  15.8609  0.002 
 116.059  16  0.002 
 116.344  17  0.002 
 116.483  18  0.002 
 116.481  19  0.002 
 116.339  20  0.002 
 116.049  21  0.002 
 116  21.1138  0.002 
 115.571  22  0.002 
 115  22.8585  0.002 
 114.89  23  0.002 
 114  23.9023  0.002 
 113.88  24  0.002 
 113  24.6003  0.002 
 112.204  25  0.002 
 112  25.0898  0.002 
 111  25.3855  0.002 
 110  25.5323  0.002 
 109  25.5349  0.002 
 108  25.394  0.002 
 107  25.1066  0.002 

 28  121.15  0.002 
 27.8656  121  0.002 
 27.6372  120  0.002 
 28  119.192  0.002 
 28.2547  119  0.002 
 29  118.779  0.002 
 29.7453  119  0.002 
 30  119.192  0.002 
 30.3628  120  0.002 
 30.1344  121  0.002 
 30  121.15  0.002 
 29  121.522  0.002 
 28  121.15  0.002 

 107  126.214  0.002 
 106.498  126  0.002 
 106  125.763  0.002 
 105  125.101  0.002 
 104.88  125  0.002 
 104  124.117  0.002 
 103.904  124  0.002 
 103.249  123  0.002 
 103  122.475  0.002 
 102.803  122  0.002 
 102.537  121  0.002 
 102.419  120  0.002 
 102.446  119  0.002 
 102.618  118  0.002 
 102.938  117  0.002 
 103  116.867  0.002 
 103.457  116  0.002 
 104  115.231  0.002 
 104.192  115  0.002 
 105  114.221  0.002 
 105.288  114  0.002 
 106  113.534  0.002 
 107  113.052  0.002 
 107.162  113  0.002 
 108  112.76  0.002 
 109  112.618  0.002 
 110  112.618  0.002 
 111  112.761  0.002 
